# ----------------- Particle ----------------- 
# ID 	 V 	 X 	 Y 	 VX 	 VY 	 EX 	 EY 	 RXY 	 BX 	 BY 
   0    3.90625e-03   -4.68750e-01  -1.46875e+00  4.00000e+00  0.00000e+00   5.05556e-04   -1.24444e-03  0.00000e+00   0.00000e+00   -1.00000e+01  
   1    3.90625e-03   -4.68750e-01  -1.40625e+00  4.00000e+00  0.00000e+00   3.61111e-04   -8.88889e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
   2    3.90625e-03   -4.68750e-01  -1.34375e+00  4.00000e+00  0.00000e+00   2.16667e-04   -5.33333e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
   3    3.90625e-03   -4.68750e-01  -1.28125e+00  4.00000e+00  0.00000e+00   7.22222e-05   -1.77778e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
   4    3.90625e-03   -4.06250e-01  -1.46875e+00  4.00000e+00  0.00000e+00   5.05556e-04   -1.24444e-03  0.00000e+00   0.00000e+00   -1.00000e+01  
   5    3.90625e-03   -4.06250e-01  -1.40625e+00  4.00000e+00  0.00000e+00   3.61111e-04   -8.88889e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
   6    3.90625e-03   -4.06250e-01  -1.34375e+00  4.00000e+00  0.00000e+00   2.16667e-04   -5.33333e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
   7    3.90625e-03   -4.06250e-01  -1.28125e+00  4.00000e+00  0.00000e+00   7.22222e-05   -1.77778e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
   8    3.90625e-03   -3.43750e-01  -1.46875e+00  4.00000e+00  0.00000e+00   5.05556e-04   -1.24444e-03  0.00000e+00   0.00000e+00   -1.00000e+01  
   9    3.90625e-03   -3.43750e-01  -1.40625e+00  4.00000e+00  0.00000e+00   3.61111e-04   -8.88889e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
  10    3.90625e-03   -3.43750e-01  -1.34375e+00  4.00000e+00  0.00000e+00   2.16667e-04   -5.33333e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
  11    3.90625e-03   -3.43750e-01  -1.28125e+00  4.00000e+00  0.00000e+00   7.22222e-05   -1.77778e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
  12    3.90625e-03   -2.81250e-01  -1.46875e+00  4.00000e+00  0.00000e+00   5.05556e-04   -1.24444e-03  0.00000e+00   0.00000e+00   -1.00000e+01  
  13    3.90625e-03   -2.81250e-01  -1.40625e+00  4.00000e+00  0.00000e+00   3.61111e-04   -8.88889e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
  14    3.90625e-03   -2.81250e-01  -1.34375e+00  4.00000e+00  0.00000e+00   2.16667e-04   -5.33333e-04  0.00000e+00   0.00000e+00   -1.00000e+01  
  15    3.90625e-03   -2.81250e-01  -1.28125e+00  4.00000e+00  0.00000e+00   7.22222e-05   -1.77778e-04  0.00000e+00   0.00000e+00   -1.00000e+01 
